fname,itp,its,channels,network,magnitude
CI.PASC.00_2008-04-15T05_49_17.307_2008-04-15T05_52_34.529.npz,3600,6433,BHZ_LHZ,CI,3.2
CI.PASC.00_2008-04-15T06_56_51.087_2008-04-15T07_02_13.673.npz,764,7668,BHZ_LHZ,CI,1.7
CI.PASC.00_2008-04-15T08_24_18.803_2008-04-15T08_28_29.059.npz,2400,6410,BHZ_LHZ,CI,3.0
CI.PASC.00_2008-04-15T13_38_01.937_2008-04-15T13_41_49.889.npz,2400,5518,BHZ_LHZ,CI,3.1
CI.PASC.00_2008-04-15T14_12_48.871_2008-04-15T14_16_27.081.npz,929,5021,BHZ_LHZ,CI,2.1
CI.PASC.00_2008-04-15T14_19_27.751_2008-04-15T14_25_29.731.npz,793,9272,BHZ_LHZ,CI,2.7
CI.PASC.00_2008-04-15T15_00_00.846_2008-04-15T15_04_06.279.npz,2400,6217,BHZ_LHZ,CI,3.4
CI.PASC.00_2008-04-15T18_29_38.588_2008-04-15T18_32_47.003.npz,3600,5905,BHZ_LHZ,CI,2.3
CI.PASC.00_2008-04-15T21_17_06.088_2008-04-15T21_23_12.598.npz,879,9540,BHZ_LHZ,CI,2.5
CI.PASC.00_2008-04-15T21_26_58.893_2008-04-15T21_31_04.368.npz,2400,6219,BHZ_LHZ,CI,3.2
CI.PASC.00_2008-04-15T21_32_55.359_2008-04-15T21_37_00.777.npz,2400,6217,BHZ_LHZ,CI,3.4
CI.PASC.00_2008-04-15T21_34_21.250_2008-04-15T21_38_26.740.npz,2400,6219,BHZ_LHZ,CI,3.6
CI.PASC.00_2008-04-16T02_59_31.175_2008-04-16T03_04_36.892.npz,159,6387,BHZ_LHZ,CI,2.9
CI.PASC.00_2008-04-16T03_31_22.116_2008-04-16T03_34_57.408.npz,370,4288,BHZ_LHZ,CI,1.9
CI.PASC.00_2008-04-16T12_51_46.375_2008-04-16T12_55_21.820.npz,359,4286,BHZ_LHZ,CI,1.6
CI.PASC.00_2008-04-16T15_04_36.722_2008-04-16T15_08_12.159.npz,523,4448,BHZ_LHZ,CI,1.6
CI.PASC.00_2008-04-16T16_46_50.560_2008-04-16T16_50_26.029.npz,332,4260,BHZ_LHZ,CI,1.6
CI.PASC.00_2008-04-16T16_56_48.384_2008-04-16T17_00_23.889.npz,129,4059,BHZ_LHZ,CI,1.8
CI.PASC.00_2008-04-16T18_05_16.641_2008-04-16T18_10_25.866.npz,861,7230,BHZ_LHZ,CI,3.2
CI.PASC.00_2008-04-16T19_29_03.345_2008-04-16T19_32_43.032.npz,759,4939,BHZ_LHZ,CI,1.9
CI.PASC.00_2008-04-17T02_38_12.205_2008-04-17T02_41_47.567.npz,808,4729,BHZ_LHZ,CI,1.6
CI.PASC.00_2008-04-17T04_15_23.907_2008-04-17T04_18_59.510.npz,105,4041,BHZ_LHZ,CI,1.7
CI.PASC.00_2008-04-17T04_44_41.846_2008-04-17T04_48_17.606.npz,3,3948,BHZ_LHZ,CI,1.7
CI.PASC.00_2008-04-17T21_25_24.738_2008-04-17T21_29_00.127.npz,816,4740,BHZ_LHZ,CI,1.7
CI.PASC.00_2008-04-18T03_24_56.570_2008-04-18T03_28_20.726.npz,661,3910,BHZ_LHZ,CI,3.2
CI.PASC.00_2008-04-18T10_58_36.853_2008-04-18T11_03_03.168.npz,2400,7052,BHZ_LHZ,CI,2.6
CI.PASC.00_2008-04-18T12_52_09.948_2008-04-18T12_55_45.426.npz,598,4526,BHZ_LHZ,CI,2.2
CI.PASC.00_2008-04-18T15_03_50.178_2008-04-18T15_07_25.740.npz,446,4379,BHZ_LHZ,CI,1.7
CI.PASC.00_2008-04-19T04_58_35.495_2008-04-19T05_02_10.848.npz,240,4161,BHZ_LHZ,CI,2.3
CI.PASC.00_2008-04-19T06_23_06.276_2008-04-19T06_26_45.927.npz,234,4413,BHZ_LHZ,CI,1.9
CI.PASC.00_2008-04-19T13_07_05.057_2008-04-19T13_10_43.637.npz,444,4558,BHZ_LHZ,CI,2.0
CI.PASC.00_2008-04-20T06_53_42.707_2008-04-20T06_59_35.188.npz,704,8803,BHZ_LHZ,CI,2.2
CI.PASC.00_2008-04-20T15_22_29.046_2008-04-20T15_26_04.848.npz,829,4777,BHZ_LHZ,CI,1.9
CI.PASC.00_2008-04-20T22_18_50.193_2008-04-20T22_23_18.303.npz,2400,7125,BHZ_LHZ,CI,2.5
CI.PASC.00_2008-04-21T14_16_12.159_2008-04-21T14_19_49.418.npz,750,4785,BHZ_LHZ,CI,4.8
CI.PASC.00_2008-04-21T14_22_21.793_2008-04-21T14_25_59.585.npz,833,4901,BHZ_LHZ,CI,2.1
CI.PASC.00_2008-04-21T18_21_37.329_2008-04-21T18_27_16.406.npz,634,8197,BHZ_LHZ,CI,2.3
CI.PASC.00_2008-04-21T18_43_01.120_2008-04-21T18_48_39.768.npz,239,7784,BHZ_LHZ,CI,2.9
CI.PASC.00_2008-04-21T19_14_33.597_2008-04-21T19_18_38.784.npz,2400,6207,BHZ_LHZ,CI,3.1
CI.PASC.00_2008-04-21T21_05_21.143_2008-04-21T21_09_00.669.npz,55,4226,BHZ_LHZ,CI,1.9
CI.PASC.00_2008-04-21T22_01_50.367_2008-04-21T22_06_24.587.npz,2400,7369,BHZ_LHZ,CI,4.0
CI.PASC.00_2008-04-21T22_58_24.317_2008-04-21T23_02_57.526.npz,2400,7329,BHZ_LHZ,CI,2.9
CI.PASC.00_2008-04-21T23_46_35.021_2008-04-21T23_50_11.888.npz,556,4567,BHZ_LHZ,CI,2.5
CI.PASC.00_2008-04-22T00_41_34.861_2008-04-22T00_45_12.565.npz,440,4502,BHZ_LHZ,CI,2.1
CI.PASC.00_2008-04-22T03_18_43.399_2008-04-22T03_23_49.153.npz,732,6962,BHZ_LHZ,CI,4.1
CI.PASC.00_2008-04-22T04_00_28.230_2008-04-22T04_05_33.383.npz,975,7181,BHZ_LHZ,CI,4.0
CI.PASC.00_2008-04-22T04_08_32.548_2008-04-22T04_13_37.731.npz,95,6302,BHZ_LHZ,CI,3.8
CI.PASC.00_2008-04-22T05_36_59.371_2008-04-22T05_42_04.810.npz,681,6898,BHZ_LHZ,CI,3.9
CI.PASC.00_2008-04-22T05_59_47.512_2008-04-22T06_04_50.073.npz,680,6783,BHZ_LHZ,CI,3.0
CI.PASC.00_2008-04-22T06_43_10.043_2008-04-22T06_48_14.068.npz,994,7155,BHZ_LHZ,CI,3.7
CI.PASC.00_2008-04-22T08_31_21.327_2008-04-22T08_36_23.487.npz,80,6166,BHZ_LHZ,CI,3.0
CI.PASC.00_2008-04-22T08_40_24.246_2008-04-22T08_45_27.538.npz,592,6723,BHZ_LHZ,CI,3.1
CI.PASC.00_2008-04-22T09_01_49.110_2008-04-22T09_06_53.116.npz,215,6375,BHZ_LHZ,CI,4.0
